LocCode,Coarse,Sand,Silt,Clay,TOC,Moisture,Bifenthrin_Raw,Bifenthrin_ND,Bifenthrin_OC,Bifenthrin_ML,Bifenthrin_OC_QML
1,7.9,57.2,21.1,13.8,2.4,61,0.76,FALSE,80.1,0.76,81.1965811965812
2,1.4,34.1,43.5,20.9,2.6,55,1,FALSE,85.4,1,85.47008547008546
3,1.4,78.5,9,11.1,0.8,29,0.32,FALSE,55.1,0.32,56.33802816901408
4,1,9.4,63.6,26,2.6,59,0.56,FALSE,52.5,0.56,52.5328330206379
5,1.8,32.8,40.9,24.6,1.7,50,0.091,FALSE,10.8,0.091,10.705882352941176
6,0.2,16.2,53.7,29.9,2.8,60,0.045,TRUE,1.6,0.019569517842659905,1.7472783788089203
7,2.3499999999999996,75.25,15.100000000000001,7.35,1.45,37,0.06,FALSE,6.7,0.06,6.568144499178982
9,15.5,73.6,7.7,3.2,0.6,34,0.11,FALSE,27,0.11,27.777777777777782
10,28,63.2,6,2.7,1.6,39,0.064,FALSE,6.5,0.064,6.557377049180328
11,4.175,66.175,19.475,10.175,1.225,40.25,0.34249999999999997,FALSE,48.95,0.34249999999999997,46.79361284262659
12,14.45,82.15,1.7999999999999998,1.6,0.45,22,0.18,FALSE,56.15,0.18,51.282051282051285
13,9.425,37.425,36.225,16.925,1.55,52,0.20750000000000002,FALSE,28.55,0.20750000000000002,27.88978494623656
14,2.7,74.5,13.1,9.7,0.6,40,0.063,FALSE,16.3,0.063,17.5
15,10.15,48.5,19.55,21.85,0.65,29.5,0.051500000000000004,TRUE,12.05,0.02102336846517014,4.587750892563042
16,21.2,75.8,1.1,2,0.4,30,0.045,TRUE,16.2,0.01894258811332851,6.765210040474467
17,9.5,83.4,4.9,2.3,0.4,28,0.045,TRUE,17.7,0.018202363916022264,6.320265248618841
18,14.1,80.2,2.5,3.2,0.8,27,0.045,TRUE,7.3,0.019319044352534533,3.308055539817557
19,25.1,70.4,2.6,1.9,0.3,20,0.045,TRUE,17.5,0.018766846962894847,7.819519567872852
20,2.5,94.9,1.3,1.2,0.2,20,0.045,TRUE,35.8,0.01902298519334899,11.889365745843119
21,31.2,65.9,1.2,1.7,0.4,25,0.045,TRUE,14.9,0.019758316002944386,6.586105334314794
22,10.7,86.4,1.8,1.1,0.3,24,0.045,TRUE,21.5,0.018999415456181234,8.333076954465454
